city_index,city,State,Country,lat,lon,date
1,SALVADOR,BAHIA,BRAZIL,-12.9777,-38.5016,7/30/1987
2,NITEROI,RIO DE JANEIRO,BRAZIL,-22.8859,-43.1153,12/31/1987
3,MACAE,RIO DE JANEIRO,BRAZIL,-22.3234,-41.9593,8/25/1988
4,PROVO,UTAH,USA,40.2338,-111.6585,12/29/1994
5,HOUSTON,TEXAS,USA,29.7604,-95.3698,6/26/1997
2,NITEROI,RIO DE JANEIRO,BRAZIL,-22.8859,-43.1153,3/26/1998
6,RIO DE JANEIRO,RIO DE JANEIRO,BRAZIL,-22.9068,-43.1729,9/27/2012
7,LAS VEGAS,NEVADA,USA,36.1699,-115.1398,12/25/2014
8,ATHLONE,WESTMEATH,IRELAND,53.4239,-7.9407,10/15/2015
9,LINKOPING,OSTERGOTLAND,SWEDEN,58.4108,15.6214,12/27/2018
8,ATHLONE,WESTMEATH,IRELAND,53.4239,-7.9407,3/28/2019
